step 42,800/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,435  lr=9.87e-06     4,278 tok/s
step 43,000/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,424  lr=9.61e-06     4,278 tok/s
step 43,200/50,000  loss=0.0020  L0=128.0  FVE=0.957  dead=5,420  lr=9.36e-06     4,278 tok/s
step 43,400/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,418  lr=9.11e-06     4,278 tok/s
step 43,600/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,401  lr=8.87e-06     4,278 tok/s
step 43,800/50,000  loss=0.0020  L0=128.0  FVE=0.976  dead=5,390  lr=8.63e-06     4,278 tok/s
step 44,000/50,000  loss=0.0020  L0=128.0  FVE=0.906  dead=5,387  lr=8.40e-06     4,278 tok/s
step 44,200/50,000  loss=0.0020  L0=128.0  FVE=0.975  dead=5,389  lr=8.18e-06     4,278 tok/s
step 44,400/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,389  lr=7.97e-06     4,278 tok/s
step 44,600/50,000  loss=0.0020  L0=128.0  FVE=0.939  dead=5,382  lr=7.76e-06     4,278 tok/s
step 44,800/50,000  loss=0.0020  L0=128.0  FVE=0.979  dead=5,356  lr=7.56e-06     4,278 tok/s
step 45,000/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,347  lr=7.37e-06     4,278 tok/s
step 45,200/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,354  lr=7.19e-06     4,278 tok/s
step 45,400/50,000  loss=0.0020  L0=128.0  FVE=0.966  dead=5,352  lr=7.01e-06     4,278 tok/s
step 45,600/50,000  loss=0.0020  L0=128.0  FVE=0.972  dead=5,346  lr=6.84e-06     4,278 tok/s
step 45,800/50,000  loss=0.0020  L0=128.0  FVE=0.972  dead=5,339  lr=6.68e-06     4,278 tok/s
step 46,000/50,000  loss=0.0020  L0=128.0  FVE=0.979  dead=5,326  lr=6.52e-06     4,278 tok/s
